point,xgboost_rmse,other_mean_rmse,advantage,xgboost_rank,Autoformer_RMSE,Informer_RMSE,LSTM类模型_RMSE,LightGBM_RMSE,N-HiTS_RMSE,TimesFM_RMSE,XGBoost_RMSE
point962,0.0018363683455430674,0.019102772393675745,0.017266404048132677,1,0.020435188035074967,0.01339747363852364,0.0022309271149335637,0.0019717439987651754,0.008496456760721041,0.0680848448140361,0.0018363683455430674
point183,0.0025111725669796584,0.019221098759967695,0.016709926192988035,1,0.025928774306942386,0.01712612566000675,0.003589175519438508,0.0025362476416458443,0.02067545582560054,0.045470813606172125,0.0025111725669796584
point215,0.002761808461009667,0.01916305929399829,0.016401250832988625,1,0.030328462097220097,0.02141100290061363,0.003751064439991396,0.0028333827733556002,0.019754474864725192,0.03689996868808382,0.002761808461009667
point605,0.004900061153288574,0.020920301357051863,0.01602024020376329,1,0.028171517771330607,0.02140892740050548,0.004925849570141671,0.004951599827932741,0.021132770190188718,0.04493114338221196,0.004900061153288574
point418,0.0031341096160750234,0.019117092230943922,0.0159829826148689,1,0.02153973194429096,0.013696079610803033,0.0031735058700786563,0.003217423041010143,0.020900955328520945,0.052174857590959786,0.0031341096160750234
point844,0.0029450554530848507,0.018862908888910766,0.015917853435825916,1,0.026905388928775944,0.01520911276016649,0.0039617037053585845,0.0030166285567897366,0.016115528852732403,0.04796909052964143,0.0029450554530848507
point192,0.002668078005547717,0.01849245904450204,0.015824381038954324,1,0.020901221018630293,0.011739210682093206,0.003298869519732799,0.0027199745127333246,0.01927453300355598,0.05302094553026662,0.002668078005547717
point466,0.002690442578241762,0.018450277921236546,0.015759835342994785,1,0.027242871191180528,0.011090007033525763,0.0031489494539423736,0.0027407855399404963,0.01323926980843092,0.05323978450039919,0.002690442578241762
point129,0.0032011152406433334,0.01871990491494593,0.015518789674302598,1,0.025310602857209537,0.018301287635657713,0.00395558092703922,0.0032626433041203634,0.014040232072639061,0.047449082693009674,0.0032011152406433334
point275,0.004431497761066214,0.01985823794508244,0.015426740184016227,1,0.024073582191102394,0.01402912517637854,0.005413597214824936,0.004764340829021171,0.011644609167634426,0.05922417309153317,0.004431497761066214
point257,0.0034713804962031073,0.018297656242425322,0.014826275746222214,1,0.025293669276023185,0.01416448274030911,0.00429054663624267,0.003710480016442872,0.022786900129048014,0.039539858656486085,0.0034713804962031073
point480,0.0019081125061831546,0.016652987321565404,0.01474487481538225,1,0.026046453280087402,0.014729967379587913,0.0040413742958168705,0.002091855490622855,0.012868186453258901,0.04014008703001847,0.0019081125061831546
point706,0.0031744124939042497,0.01784273451924513,0.01466832202534088,1,0.030827609396357175,0.020901660752023637,0.0035901333981846737,0.0032487007059665684,0.022414847462074297,0.026073455400864403,0.0031744124939042497
