point_id,RMSE,SMAPE
point46,0.003815845126402838,0.664588125942885
point460,0.003730124365045424,0.6710878772766122
point461,0.0032025613763923583,0.4954047070344215
point462,0.004003168937625982,0.5746862813585187
point463,0.004350347649147528,0.4760854258410072
point464,0.005108693817736495,0.5319248208945417
point465,0.0019545896545913374,0.3842818552922968
point466,0.002718115532586155,0.49908471899609397
point467,0.0034546868245690565,0.940000547156006
point468,0.002979089707256944,0.5599127964177818
point469,0.0031829703775149037,0.6263726981295125
point47,0.004476260866463977,3.7899164786593755
point470,0.002067536658073997,0.46248297361848323
point471,0.0067913626280979396,1.4241189628408404
point472,0.004578693639705482,62.324512966705925
point473,0.003926140036191664,0.5618260323080122
point474,0.003394191498249571,0.43561128502029667
point475,0.0038285641231288223,0.696896399360868
point476,0.0033745645324750675,0.45497016507011895
point477,0.0020359225406105215,0.3715288945503279
point478,0.001138676482961651,0.169556013617463
point479,0.003679222099265873,3.6569309179773293
point48,0.0030763165202338477,0.5082027534201264
point480,0.0018987752929397158,0.3707624488220396
point481,0.0027358611130039096,0.3372848687843854
point482,0.0027926974767137733,0.48494162244366623
point483,0.0043943765414813886,1.981672888599163
point484,0.0031629928380625233,0.41607257005185394
point485,0.001803022191161507,0.29408944255356106
point486,0.0028457833618430336,0.39039679587932746
point487,0.0032474831535193294,0.5868835291854441
point488,0.004171563705096606,45.06010218707361
point489,0.002533282307437523,0.3163747244267961
point49,0.0025894948973427447,0.35201177973113185
point490,0.004247709388589199,0.9380083418894269
point491,0.0035604433888241534,0.4414545825692782
point492,0.0033621787647958898,0.40871939673493674
point493,0.002599067592184032,0.34594624494243364
point494,0.0026768633032567646,0.8416278811762222
point495,0.0053943086424107336,1.7788695538684611
point496,0.0020925524985540393,0.404237702544604
point497,0.002758902896288126,0.9082760217501552
point498,0.0020864176361523514,0.30303828662303245
point499,0.006833314463899771,2.190407553260339
point5,0.002915960763105233,0.3631215828829135
point50,0.0020527621526378868,0.28557644738305754
point500,0.00224891267745064,0.34019844408359756
point501,0.00867653559774807,0.8266779173904868
point502,0.003001716482325095,0.3868638642959116
point503,0.01007335054413167,0.9097783366397308
point504,0.0033070666763170406,0.3861645364986458
point505,0.0025626431548356043,0.3806768770608252
point506,0.0031915562568804712,0.3863609001500245
point507,0.002821811095703306,0.35258733232039036
point508,0.0047298612476574745,0.836677672042763
point509,0.0028747774581439757,0.5531936748808651
point51,0.002186601539422506,0.29246218787082984
point510,0.003464647422274901,3.2237770058262325
point511,0.003580573159103449,0.47605947007152366
point512,0.0037484560958542783,0.6688157781116235
point513,0.002654895108121408,0.45664099720504464
point514,0.003247334509916342,0.4154775730696908
point515,0.0032679777962149634,0.5137988840014941
point516,0.004300886255217626,0.5850348642124441
point517,0.0022979505334651006,0.4220186811812724
point518,0.003743587616906755,0.4876094378974123
point519,0.002986082086408863,0.7273969438115968
point52,0.006909237967150882,1.226079408929166
point520,0.0033948938228921897,0.5150667446477586
point521,0.015983606211636536,1.579935361333058
point522,0.002853914519418893,0.9238570439715922
point523,0.0032269359649743858,0.6094755298479592
point524,0.0032008815717781726,0.523078093827842
point525,0.0025600604346991606,0.5108651114963003
point526,0.003150714497259093,0.5469054168861115
point527,0.003126753559120856,0.3919777392490939
point528,0.006014282136906814,1.1117483471075424
point529,0.005545546673653147,1.3034544276965945
point53,0.004923859647728352,0.7979031533446624
point530,0.0028972094346004164,0.44307174696213225
point531,0.002954785401072521,0.3628314891500394
point532,0.0024834668548008023,0.3601534312767922
point533,0.002246452813801267,0.4604640644076394
point534,0.003690031142323664,0.5880315287106173
point535,0.0018775393121072878,0.24924384885316075
point536,0.0027999391604091274,0.4018262387529839
point537,0.001907454970037447,0.27963096606522453
point538,0.0015828847304516875,0.21428575991854518
point539,0.00295928483182954,0.3711423778702999
point54,0.0023036588017034316,0.30791068319220766
point540,0.003886755747255532,0.4357450903426741
point541,0.003332084146585774,0.43324723041820645
point542,0.002245264686231631,0.2953893563293355
point543,0.0037879104731437453,0.5859633768010826
point544,0.001470172018561259,0.24813693081147414
point545,0.006540575762526761,0.6155086914698981
point546,0.002916237679134907,0.40605636309992854
point547,0.002375835210468594,0.3694219304937589
point548,0.0031019772532412905,0.407352994454289
point549,0.0023342703918068195,0.5985410103772113
point55,0.003257664818618313,0.6839932267364649
point550,0.002448107735121727,0.6192155951009374
point551,0.004749294324196048,0.4931937256869981
point552,0.005577112021151325,8.998648190802124
point553,0.006251749594490255,3.1696615163282473
point554,0.0032526206367464953,0.4040426780598052
point555,0.012532173539530813,7.469094176653349
point556,0.006546977809795933,1.9720002012620568
point557,0.004230884111529831,0.7570682391488675
point558,0.004463531377438424,0.502827745730354
point559,0.0035961747066385174,0.5545719386257271
point56,0.004080022067784155,1.7175872663979745
point560,0.0014430495693285343,0.2145297970639982
point561,0.005190813432056936,42.873262292014516
point562,0.0029274828914838866,0.3583338698000377
point563,0.003931174000316565,0.5473248184431796
point564,0.006014299058452155,1.648313205890553
point565,0.003214814213214055,0.5417054540083445
point566,0.0045233432157707545,0.7572966478524409
point567,0.003827387098087404,0.6715610497192535
point568,0.005488617812519712,0.8746522102167457
point569,0.007586667230347995,2.139848406169973
point57,0.0033987508064171096,0.5093312529044111
point570,0.0035449482939590685,0.565117203558862
point571,0.0014265287475167265,0.23957811690593617
point572,0.006132451113739388,1.81513487385339
point573,0.002601971935580418,0.40649527220134984
point574,0.0024359106283366443,0.3749109040031938
point575,0.0029290236142093724,0.8349556512799773
point576,0.011043057950542412,4.5164989639870825
point577,0.0030146974795313307,0.39475295836140156
point578,0.0032546411063905396,0.5777461283090674
point579,0.0069100225312887014,1.1343009542543456
point58,0.0017485733583751171,0.23583809482196327
point580,0.0028182901553660687,0.4871308874713268
point581,0.003288553289120127,0.5324520941503206
point582,0.005665967276369096,0.8752829375550544
point583,0.0037604964144222187,3.8648545224550945
point584,0.004483209980019336,0.7646803453108493
point585,0.003575460746686337,0.44161583724669157
point586,0.004071701217724739,0.8342432303568829
point587,0.0017855833266883093,0.25941028825029333
point588,0.002668095042292653,0.3590169366651399
