point,XGBoost_RMSE,LSTM_RMSE,LightGBM_RMSE,TimesFM_RMSE,Informer_RMSE,Autoformer_RMSE,NHiTS_RMSE,LSTM_minus_XGBoost,LSTM_over_XGBoost
point459,0.004228925743083939,0.004942857472165701,0.004057771166842763,0.050279927479363794,0.020517178956062834,0.0332992164290901,0.019794016588933355,0.0007139317290817621,1.1688210605847924
point941,0.0012411038852142937,0.0019549284715143418,0.0010264339058272235,0.01958971173331015,0.01421495130446492,0.020999882066754887,0.01228059386200629,0.0007138245863000481,1.5751529705160792
point804,0.0024491160990101064,0.0031593320423339965,0.0022863655827990137,0.05202141551395619,0.014287429305421505,0.020116828597209806,0.01440960462053455,0.0007102159433238901,1.2899886794304884
point379,0.0018401394900540418,0.002541482310606685,0.001956707115616371,0.014780962737449605,0.015227499217816824,0.02181569169537983,0.010161068173510587,0.0007013428205526434,1.3811356825628724
point121,0.0018787515770201256,0.002573972369084095,0.001718098353593042,0.037205116340590656,0.012410925920177035,0.015350980128075977,0.01379291505100125,0.0006952207920639696,1.3700440231521478
point54,0.0023468671883195855,0.003038380117411032,0.002217298829690088,0.03136531828938108,0.01677118059205601,0.026317996097778157,0.019317478739930057,0.0006915129290914466,1.2946536269854225
point728,0.0024972542801139225,0.003186698148448632,0.002500085774894088,0.03107548451591442,0.0135504647143497,0.01914133209645342,0.016957063724987745,0.0006894438683347093,1.276080763510898
point908,0.0031964204440424505,0.0038858197520064185,0.0033715414741658546,0.042509537823968255,0.01383101915205336,0.026107079956046268,0.011896072348175345,0.000689399307963968,1.2156785441817841
point258,0.005085545733763684,0.005771976414876327,0.005031766918039177,0.055916586139591495,0.022113353065222392,0.030568863314136045,0.014183850352349954,0.0006864306811126429,1.1349767983709849
point578,0.0032709359720228003,0.003949982909444722,0.0032549685056750158,0.06986625422987547,0.010806229355315973,0.026006845752554714,0.013791533919587564,0.0006790469374219218,1.2076001924923
point600,0.002122038419935525,0.0027991397746198344,0.0019407362496643105,0.025916845346902313,0.008353382714098091,0.012876083128408235,0.011855835287458873,0.0006771013546843095,1.3190806294189916
point196,0.0015231506609687442,0.0021983428108387493,0.0015131628542843297,0.018132904520211435,0.01303981166289489,0.01878054089020854,0.010409486111906119,0.0006751921498700051,1.443286516017118
point717,0.0019327887508253918,0.0026040959717431437,0.0018202596696691544,0.09085896475759034,0.011074554264115827,0.024816983394281542,0.013359489921965093,0.0006713072209177519,1.3473257078048866
point884,0.002519842172243233,0.0031851860516439313,0.0024186670284734907,0.037497388579084245,0.012075190051153064,0.01993728645009712,0.01430960524099294,0.0006653438794006982,1.2640418859282725
point544,0.001457784831844619,0.002122383469698177,0.0013323973953041088,0.04102947319359752,0.011570640651854347,0.019834652339505248,0.011922531312190298,0.0006645986378535579,1.4558962498001868
point192,0.002668078005547717,0.003298869519732799,0.0027199745127333246,0.05302094553026662,0.011739210682093206,0.020901221018630293,0.01927453300355598,0.000630791514185082,1.2364216911475157
point751,0.0028060818041545765,0.0034315083641314093,0.002697625725444903,0.0375963000217329,0.00808278197209652,0.01616562008726103,0.018483096351452413,0.0006254265599768328,1.222882511497295
point288,0.0030404408701871304,0.003665785166927805,0.003321265532118183,0.02971404043353448,0.01442802794730669,0.019860236142458316,0.021619064681415525,0.0006253442967406745,1.2056755330690534
point796,0.0035341421067793402,0.004148585841495445,0.0037158350153681575,0.03142741364381422,0.014065765602032026,0.01858441203296155,0.01013553483204437,0.0006144437347161049,1.1738593741144288
point185,0.002115414763796738,0.0027163836168241015,0.0018585157045720297,0.03524361666546965,0.012814094231562375,0.017728300886291612,0.012331531806788728,0.0006009688530273635,1.2840903180370864
point191,0.0019042285872728972,0.002502046006600253,0.0018596299456517748,0.026871800857438934,0.012124102735513754,0.016704754137679623,0.014136161793417567,0.0005978174193273557,1.313942046308373
point287,0.002416619105354839,0.0030040595187718327,0.0023379950403853308,0.03020971920758278,0.01345627241211923,0.020667418128435654,0.021586244741740954,0.0005874404134169936,1.2430835757754792
point195,0.0022615123034655247,0.002846301329371588,0.0021988575612157425,0.026756681736081516,0.012131611828117774,0.01798400535846607,0.0188697115437977,0.0005847890259060634,1.2585831724240177
point740,0.001590649406000395,0.002172553075167697,0.0015572496576019622,0.019979763629417627,0.01144733803139998,0.019577585194916286,0.010834037170604448,0.000581903669167302,1.3658277348686587
point769,0.003381839129421757,0.0039589504804551584,0.0032922359617669683,0.025621622464598467,0.013614345116192106,0.01789807585459033,0.011498597426841188,0.0005771113510334015,1.1706501489123402
point402,0.0017765273817898098,0.00234370211538683,0.001722188387313505,0.01858900735151262,0.015150265234708048,0.020213295339085707,0.010895426597922031,0.0005671747335970201,1.3192603386870427
point685,0.0022337783792269485,0.002800623318476283,0.002279261683274477,0.0336732552024829,0.016169408177851896,0.02310094483542088,0.01954375906971447,0.0005668449392493345,1.2537605988672451
point193,0.002536796704373631,0.003103219525915449,0.0023622449461246603,0.021338162166953042,0.011546214016211065,0.01585814494977036,0.011878883245120892,0.0005664228215418181,1.223282701591839
point668,0.0031964474051216097,0.0037615335063114594,0.0029399911315144234,0.026077838068456035,0.013208139904703263,0.018479993264744646,0.012718207662084221,0.0005650861011898497,1.1767856715816511
point752,0.002136133359719142,0.0026895096130303054,0.002135166001155631,0.02339018669721113,0.013256013580892177,0.018527388027626556,0.015398266366326878,0.0005533762533111632,1.2590551057092807
point662,0.001971537021697411,0.00252256307342293,0.0019067411821424597,0.024030292851544163,0.011560085452313722,0.016533364606639765,0.012981699641771413,0.0005510260517255189,1.2794905932078864
point83,0.004173562158613858,0.00472344590058397,0.003925642690574017,0.054764900255385975,0.02051938692441187,0.025715082604826786,0.01815292133998668,0.0005498837419701122,1.131754055905266
point603,0.0018938108331667518,0.0024427593142401184,0.001804790466568383,0.034057120629449766,0.012234586012732753,0.021074966484662463,0.011747158250421108,0.0005489484810733665,1.2898644740327299
point437,0.0027039872346698475,0.0032515396996104415,0.002569694437822231,0.0518733199439566,0.01397229659474705,0.019865593224131034,0.017115567770235735,0.000547552464940594,1.2024981693404515
point888,0.0028997863895378973,0.0034466284262377926,0.002917172978872785,0.03846470271012457,0.013028125471241261,0.023993468536531136,0.020959125180526453,0.0005468420366998954,1.1885801101325393
point302,0.0020117198253212874,0.0025583656566214637,0.0019641570886043728,0.03535581422911053,0.011008751237429252,0.015849922647183576,0.015153872237139427,0.0005466458313001764,1.271730598078126
point284,0.0027171880537693455,0.0032614916741614476,0.002563026148457327,0.01924988870682505,0.010479944831132366,0.016722663382481615,0.01153287654517611,0.0005443036203921022,1.2003187153855737
point101,0.003576007516807639,0.004119123301865,0.003295353111541129,0.04273116040313925,0.02853557116484386,0.03677343913239408,0.019330638124164898,0.0005431157850573605,1.1518776967063562
