point,XGBoost_RMSE,LSTM_RMSE,LightGBM_RMSE,TimesFM_RMSE,Informer_RMSE,Autoformer_RMSE,NHiTS_RMSE,LSTM_minus_XGBoost,LSTM_over_XGBoost
point912,0.0017588386476112714,0.002093865879872604,0.0017975498830920698,0.027735994226213964,0.010691967009122144,0.016345461247014127,0.019721238041649766,0.00033502723226133246,1.190482073336484
point360,0.002138421128976529,0.0024655841340540884,0.002001589106134429,0.029113762479645304,0.010942827488011609,0.016476241200983743,0.014051834906395782,0.0003271630050775596,1.1529927854922306
point310,0.0019226515777920454,0.002249558819988775,0.0019882598965006064,0.03311451676790006,0.014722780690532762,0.02081533954688925,0.019876072560023186,0.00032690724219672945,1.170029372962181
point538,0.0015892618919259563,0.0019157509835288128,0.0016279703450664859,0.020767293909653973,0.011653304796427021,0.016517413499614712,0.016856147959858202,0.0003264890916028565,1.205434417865012
point78,0.0017897238280366174,0.0021161451514222244,0.0017805709337292768,0.022630280800550184,0.01107478564926788,0.016949838801159026,0.01816408742200959,0.00032642132338560705,1.1823864208947261
point560,0.0014853293719040298,0.0018043492766760092,0.001488885405804342,0.01637825778899417,0.011530452612506873,0.01553152834058305,0.013447111906189546,0.00031901990477197937,1.2147805805274225
point150,0.0019510434363850145,0.0022606139366733247,0.0018703843576994635,0.03814532146210902,0.008636292134331985,0.014847538042114725,0.016115171123751083,0.00030957050028831024,1.1586691995242797
point312,0.0014944504168379876,0.0018039424425852146,0.0013361019113057593,0.012740440828517817,0.011063361359796357,0.014436848428913485,0.014932504147233731,0.000309492025747227,1.2070942081852816
point678,0.002582140439216123,0.002889623831158388,0.0024014978546020244,0.030479498140671003,0.011393506137685958,0.01843177719514178,0.012248435968394413,0.000307483391942265,1.1190808165475343
point974,0.00222040310625226,0.0025228821488036037,0.002191366850207061,0.03693326834601736,0.01070291694087559,0.01741995577719725,0.017564900928466066,0.00030247904255134355,1.1362270849376928
point704,0.0020263402613610237,0.0023257094226931713,0.0019117800792059231,0.027305318586158797,0.01107953973759077,0.01928376955542192,0.013740367552825608,0.0002993691613321476,1.1477388408258105
