point,LSTM_RMSE,samples
point714,0.0029791456120041616,131
point381,0.002974785751687078,131
point760,0.0029731390682244075,131
point842,0.002971372341641441,131
point136,0.002961181509503721,131
point429,0.0029603477347362474,131
point270,0.0029585144580017435,131
point211,0.0029576021375664115,131
point780,0.0029558054297925012,131
point811,0.0029531207159981202,131
point598,0.0029515289586395316,131
point65,0.0029430660732257586,131
point506,0.0029428407485875526,131
point926,0.0029397010592492508,131
point790,0.0029357693357451517,131
point145,0.002934652853831649,131
point336,0.002933623616830936,131
point221,0.002932182599668716,131
point349,0.0029301230813886087,131
point905,0.0029282469209491345,131
point779,0.0029278554771134794,131
point492,0.002926593460177325,131
point881,0.002922567126043041,131
point518,0.002918063441652427,131
point202,0.0029144961468427267,131
point322,0.002910436011227067,131
point210,0.0028993882075227686,131
point923,0.0028961041799188576,131
point610,0.002894260760376732,131
point306,0.0028937474213126192,131
point415,0.002891951149462964,131
point678,0.002889623831158388,131
point125,0.0028877067497537386,131
point613,0.002886872346974219,131
point354,0.0028806319718531494,131
point366,0.002875156963218248,131
point392,0.0028736938003517515,131
point985,0.002870941970515586,131
point93,0.0028657876656999312,131
point998,0.0028642758365501437,131
point449,0.0028611384514254426,131
point282,0.0028598958635090285,131
point890,0.0028584565421788766,131
point400,0.00285557589692143,131
point174,0.0028555000005291787,131
point674,0.0028550930911298788,131
point143,0.002852893233759734,131
point411,0.0028516044266954127,131
point140,0.0028514507135591997,131
point642,0.0028503143436407344,131
point195,0.002846301329371588,131
point297,0.0028443371120195028,131
point307,0.0028440440896456043,131
point457,0.0028424290912136907,131
point417,0.002840491009498672,131
point778,0.0028391166957588503,131
point438,0.0028384820748302863,131
point469,0.0028383205227972517,131
point90,0.002834849955971258,131
point718,0.002833395639801571,131
point465,0.002832796814851504,131
point455,0.0028301276379992485,131
point724,0.002827858653649544,131
point147,0.0028276093006583216,131
point709,0.002825141959383943,131
point720,0.002822807926704072,131
point511,0.0028227701723919705,131
point984,0.0028214439084497537,131
point846,0.002817916940049568,131
point670,0.002817145331806215,131
point541,0.0028161475134270983,131
point447,0.0028140381053552966,131
point659,0.0028136413207865358,131
point189,0.002812335006593125,131
point504,0.00281141261881755,131
point242,0.0028098355062059887,131
point919,0.0028098226977272705,131
point68,0.0028090027102617757,131
point632,0.002808443452824532,131
point601,0.002807576511782946,131
point445,0.002805740342130264,131
point28,0.002801372005941061,131
point685,0.002800623318476283,131
point600,0.0027991397746198344,131
point823,0.002794257650497007,131
point318,0.0027942484161484443,131
point162,0.002792502965361009,131
point585,0.002787263306695094,131
point909,0.0027828785038185367,131
point611,0.00278038008778565,131
point26,0.0027801431889857967,131
point750,0.0027782645930162306,131
point16,0.002773715155987951,131
point365,0.0027710143435854782,131
point456,0.0027700501221558627,131
point89,0.0027633659636015625,131
point442,0.002762314526811874,131
point672,0.0027583857441813744,131
point756,0.002758269243052924,131
point385,0.002756543120590638,131
point427,0.002751195825239785,131
point80,0.0027498439076215266,131
point9,0.0027477504137212554,131
point217,0.002743782662494069,131
point636,0.002743564750726923,131
point525,0.0027429483599525546,131
point759,0.0027424800056108987,131
point474,0.0027375787688650173,131
point316,0.0027357887503404424,131
point641,0.0027334763154668695,131
point484,0.0027320382980274213,131
point46,0.002731576502542442,131
point943,0.0027308630763585146,131
point130,0.0027299609034732294,131
point317,0.0027298957748330115,131
point794,0.0027281611547199476,131
point563,0.00272652584591448,131
point527,0.0027210005767071108,131
point185,0.0027163836168241015,131
point141,0.002715204409997709,131
point332,0.0027145407926591697,131
point345,0.0027128680546461958,131
point51,0.0027124485744964366,131
point216,0.002710636475359963,131
point134,0.002709269704549562,131
point49,0.00270880962067845,131
point10,0.002705868363397436,131
point652,0.0027040771439776753,131
point479,0.0027017147233361453,131
point451,0.0027011912753907913,131
point976,0.0026950785193805772,131
point272,0.0026947247058227955,131
point23,0.002694377213727688,131
point554,0.0026909902624029152,131
point752,0.0026895096130303054,131
point637,0.002687321299224354,131
point113,0.0026790097125827935,131
point663,0.0026766004439063872,131
point692,0.002672511727632998,131
point687,0.0026712390034775986,131
point859,0.00266931418414918,131
point285,0.0026692002163149135,131
point331,0.002668708787430003,131
point830,0.002667243523598871,131
point149,0.002666588951934547,131
point553,0.002664960773149855,131
point67,0.0026641901502560523,131
point85,0.002663950569044738,131
point532,0.0026638129277879825,131
point524,0.0026602353975514093,131
point558,0.0026547096892818906,131
point431,0.0026532505896355815,131
point39,0.002649935564538383,131
point344,0.002644384914280597,131
point182,0.0026381063734903423,131
point434,0.002638091429434498,131
point18,0.0026335975320450748,131
point789,0.002629919776582599,131
point559,0.002629781100867555,131
point109,0.0026272381633123624,131
point671,0.0026271134915271757,131
point214,0.0026243629178318395,131
point593,0.0026227209822418406,131
point967,0.0026223633804262863,131
point547,0.0026128391605168767,131
point717,0.0026040959717431437,131
point596,0.0025987105766503973,131
point744,0.0025893904880323142,131
point729,0.0025852470052448533,131
point369,0.0025816565221890137,131
point266,0.002580126705802235,131
point969,0.002579752421769495,131
point301,0.0025795292371239126,131
point675,0.0025777519143902737,131
point595,0.0025754366907942677,131
point204,0.0025751849253357172,131
point956,0.0025747668222322424,131
point160,0.002574006430900583,131
point121,0.002573972369084095,131
point982,0.002571623917570347,131
point166,0.0025693542318092335,131
point422,0.002564272129112416,131
point917,0.0025618557277748565,131
point498,0.002560113607096914,131
point302,0.0025583656566214637,131
point91,0.002557387403282934,131
point676,0.0025569950726216577,131
point953,0.0025563515102654906,131
point5,0.0025535315937455154,131
point116,0.0025517853055500935,131
point868,0.0025497541371494463,131
point688,0.0025439042817603755,131
point112,0.002542821592353895,131
point809,0.0025428097418455056,131
point379,0.002541482310606685,131
